IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.21.68.224,4,4,0.00,195.50,62.00
104.21.214.145,4,4,0.00,195.15,57.24
104.21.20.108,4,4,0.00,196.26,49.51
104.21.45.55,4,4,0.00,196.52,40.68
104.21.32.65,4,4,0.00,195.38,34.69
104.21.69.238,4,4,0.00,195.74,32.02
104.21.14.45,4,4,0.00,195.69,30.11
104.21.78.29,4,4,0.00,196.13,24.24
104.21.43.254,4,4,0.00,196.39,23.88
104.21.222.67,4,4,0.00,195.45,3.84
