IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.210.107.246,2052,2052,false,HKG,Asia Pacific,Hong Kong,140,0.00
194.104.146.124,30809,80,false,HKG,Asia Pacific,Hong Kong,149,0.00
47.76.33.40,2083,2083,true,HKG,Asia Pacific,Hong Kong,117,0.00
47.242.171.94,2053,2053,true,HKG,Asia Pacific,Hong Kong,87,0.00
47.76.94.15,2052,2052,false,HKG,Asia Pacific,Hong Kong,117,0.00
23.247.139.48,30809,80,false,HKG,Asia Pacific,Hong Kong,104,0.00
47.76.77.103,2087,2087,true,HKG,Asia Pacific,Hong Kong,97,0.00
47.76.178.146,2095,2095,false,HKG,Asia Pacific,Hong Kong,117,0.00
8.218.188.129,2082,2082,false,HKG,Asia Pacific,Hong Kong,102,0.00
103.220.72.40,443,0,true,HKG,Asia Pacific,Hong Kong,106,0.00
103.20.223.93,30809,80,false,HKG,Asia Pacific,Hong Kong,159,0.00
8.210.9.129,2096,2096,true,HKG,Asia Pacific,Hong Kong,117,0.00
47.242.57.106,443,443,true,HKG,Asia Pacific,Hong Kong,97,0.00
8.210.92.27,443,443,true,HKG,Asia Pacific,Hong Kong,134,0.00
47.242.171.94,2087,2087,true,HKG,Asia Pacific,Hong Kong,146,0.00
152.32.130.150,802,443,true,HKG,Asia Pacific,Hong Kong,127,0.00
47.242.202.230,2087,2087,true,HKG,Asia Pacific,Hong Kong,144,0.00
