IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
144.21.54.80,443,443,true,FRA,Europe,Frankfurt,275,0.20
91.239.148.126,443,443,true,FRA,Europe,Frankfurt,272,0.20
193.123.57.216,443,443,true,FRA,Europe,Frankfurt,338,0.20
34.154.137.95,443,443,true,FRA,Europe,Frankfurt,282,0.19
193.122.109.200,443,443,true,SIN,Asia Pacific,Singapore,221,0.19
128.140.59.231,443,443,true,FRA,Europe,Frankfurt,302,0.17
212.38.166.47,443,443,true,LHR,Europe,London,212,0.17
51.38.122.200,443,443,true,FRA,Europe,Frankfurt,285,0.17
192.248.191.220,443,443,true,FRA,Europe,Frankfurt,282,0.16
80.76.33.44,443,443,true,AMS,Europe,Amsterdam,219,0.15
95.214.11.208,443,443,true,FRA,Europe,Frankfurt,248,0.15
34.125.212.56,443,443,true,LAX,North America,Los Angeles,352,0.14
75.2.32.4,443,443,true,IAD,North America,Ashburn,217,0.14
213.183.51.219,443,443,true,AMS,Europe,Amsterdam,196,0.13
193.123.61.78,443,443,true,FRA,Europe,Frankfurt,346,0.13
34.118.25.79,443,443,true,FRA,Europe,Frankfurt,316,0.13
143.47.229.228,443,443,true,FRA,Europe,Frankfurt,338,0.13
192.9.180.162,443,443,true,SYD,Oceania,Sydney,403,0.13
188.40.171.70,443,443,true,FRA,Europe,Frankfurt,343,0.12
152.70.36.184,443,443,true,SIN,Asia Pacific,Singapore,323,0.12
144.202.16.224,443,443,true,ATL,North America,Atlanta,281,0.12
158.180.68.56,443,443,true,ICN,Asia Pacific,Seoul,231,0.11
3.214.164.221,443,443,true,IAD,North America,Ashburn,290,0.11
80.76.34.13,443,443,true,AMS,Europe,Amsterdam,205,0.10
64.110.70.109,443,443,true,SIN,Asia Pacific,Singapore,258,0.08
66.85.139.204,443,443,true,PHX,North America,Phoenix,218,0.07
207.61.86.114,443,443,true,YYZ,North America,Toronto,389,0.07
202.81.231.150,443,443,true,HKG,Asia Pacific,Hong Kong,380,0.07
185.103.255.245,443,443,true,AMS,Europe,Amsterdam,251,0.05
165.227.134.63,443,443,true,FRA,Europe,Frankfurt,304,0.05
144.24.71.78,443,443,true,SIN,Asia Pacific,Singapore,314,0.05
152.67.143.111,443,443,true,FRA,Europe,Frankfurt,315,0.04
91.231.186.167,443,443,true,LHR,Europe,London,329,0.04
13.43.163.41,443,443,true,LHR,Europe,London,251,0.03
192.236.249.89,443,443,true,AMS,Europe,Amsterdam,295,0.03
3.122.86.99,443,443,true,FRA,Europe,Frankfurt,216,0.03
82.148.30.224,443,443,true,FRA,Europe,Frankfurt,259,0.03
95.165.88.240,443,443,true,DME,Europe,Moscow,293,0.03
46.32.184.115,443,443,true,VIE,Europe,Vienna,284,0.02
188.212.132.127,443,443,true,AMS,Europe,Amsterdam,390,0.02
2.59.183.56,443,443,true,AMS,Europe,Amsterdam,268,0.02
45.151.107.29,443,443,true,FRA,Europe,Frankfurt,299,0.02
